<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.BABA,1,20211001,100000,144.8800000,145.0600000,144.8600000,144.9800000,2032
US1.BABA,1,20211001,100100,145.0100000,145.0100000,144.6700000,144.9500000,3847
US1.BABA,1,20211001,100200,145.0200000,145.1500000,145.0000000,145.0000000,800
US1.BABA,1,20211001,100300,144.9800000,144.9900000,144.8900000,144.9000000,2273
US1.BABA,1,20211001,100400,144.8400000,144.8400000,144.6000000,144.6800000,1300
US1.BABA,1,20211001,100500,144.6900000,144.9600000,144.6900000,144.9600000,1200
US1.BABA,1,20211001,100600,145.1000000,145.1400000,144.8900000,144.9200000,1974
US1.BABA,1,20211001,100700,145.0200000,145.1100000,145.0200000,145.1100000,300
US1.BABA,1,20211001,100800,145.0800000,145.2000000,145.0100000,145.0100000,1641
US1.BABA,1,20211001,100900,144.9100000,144.9700000,144.8700000,144.8900000,1759
US1.BABA,1,20211001,101000,144.9700000,144.9700000,144.7400000,144.7900000,1899
US1.BABA,1,20211001,101100,144.7700000,145.0900000,144.7300000,145.0500000,1867
US1.BABA,1,20211001,101200,145.0300000,145.2000000,145.0300000,145.1300000,1500
US1.BABA,1,20211001,101300,145.1800000,145.2700000,145.1200000,145.1800000,4244
US1.BABA,1,20211001,101400,145.2000000,145.2600000,145.2000000,145.2200000,600
US1.BABA,1,20211001,101500,145.2000000,145.2100000,144.8400000,144.8900000,1891
US1.BABA,1,20211001,101600,144.8600000,144.9600000,144.8400000,144.8600000,2742
US1.BABA,1,20211001,101700,144.8600000,144.8600000,144.6000000,144.6900000,2447
US1.BABA,1,20211001,101800,144.6500000,144.6600000,144.5600000,144.5700000,2400
US1.BABA,1,20211001,101900,144.4400000,144.6300000,144.4300000,144.6300000,1399
US1.BABA,1,20211001,102000,144.7300000,144.8500000,144.7000000,144.8500000,1538
US1.BABA,1,20211001,102100,144.8600000,144.8600000,144.7200000,144.7200000,706
US1.BABA,1,20211001,102200,144.7200000,144.7200000,144.4900000,144.5200000,4351
US1.BABA,1,20211001,102300,144.5000000,144.5400000,144.3600000,144.4600000,1915
US1.BABA,1,20211001,102400,144.4800000,144.5900000,144.4800000,144.5500000,900
US1.BABA,1,20211001,102500,144.5100000,144.5300000,144.4300000,144.5100000,1400
US1.BABA,1,20211001,102600,144.5500000,144.5500000,144.3200000,144.4500000,2423
US1.BABA,1,20211001,102700,144.4150000,144.4900000,144.4000000,144.4000000,4000
US1.BABA,1,20211001,102800,144.4100000,144.5600000,144.4100000,144.5000000,1030
US1.BABA,1,20211001,102900,144.4400000,144.6100000,144.4400000,144.5600000,1672
US1.BABA,1,20211001,103000,144.5300000,144.5300000,144.3900000,144.3900000,2007
US1.BABA,1,20211001,103100,144.5000000,144.5000000,144.4000000,144.4600000,700
US1.BABA,1,20211001,103200,144.5600000,144.5800000,144.2600000,144.2600000,2363
US1.BABA,1,20211001,103300,144.2000000,144.3300000,144.1600000,144.2800000,1903
US1.BABA,1,20211001,103400,144.2600000,144.3000000,143.8500000,143.8700000,3447
US1.BABA,1,20211001,103500,143.9000000,144.0800000,143.8800000,144.0600000,2816
US1.BABA,1,20211001,103600,144.1200000,144.1800000,144.0000000,144.0600000,2322
US1.BABA,1,20211001,103700,144.0300000,144.0500000,143.9100000,144.0500000,2500
US1.BABA,1,20211001,103800,144.1400000,144.2000000,144.0800000,144.1900000,1071
US1.BABA,1,20211001,103900,144.2500000,144.2700000,144.0800000,144.0800000,1700
US1.BABA,1,20211001,104000,144.0600000,144.3600000,144.0400000,144.3600000,1700
US1.BABA,1,20211001,104100,144.3000000,144.4000000,144.3000000,144.3900000,1600
US1.BABA,1,20211001,104200,144.2700000,144.2700000,144.1600000,144.1900000,1300
US1.BABA,1,20211001,104300,144.1500000,144.1500000,144.1200000,144.1500000,400
US1.BABA,1,20211001,104400,144.1000000,144.1500000,144.0200000,144.0200000,1771
US1.BABA,1,20211001,104500,143.9800000,144.0600000,143.9800000,144.0600000,665
US1.BABA,1,20211001,104600,144.0700000,144.0700000,143.9600000,144.0100000,1254
US1.BABA,1,20211001,104700,143.9800000,144.0300000,143.8800000,143.8800000,3617
US1.BABA,1,20211001,104800,143.8600000,143.9800000,143.8600000,143.9800000,1200
US1.BABA,1,20211001,104900,143.8950000,143.9300000,143.8400000,143.9300000,1416
US1.BABA,1,20211001,105000,143.9900000,144.1500000,143.9200000,144.1000000,2047
US1.BABA,1,20211001,105100,144.0900000,144.1000000,143.9700000,144.1000000,900
US1.BABA,1,20211001,105200,144.1500000,144.1500000,143.9100000,143.9800000,1400
US1.BABA,1,20211001,105300,143.9600000,143.9600000,143.8500000,143.9000000,1161
US1.BABA,1,20211001,105400,143.8000000,143.8000000,143.6400000,143.6600000,1363
US1.BABA,1,20211001,105500,143.6800000,143.8600000,143.6800000,143.8600000,700
US1.BABA,1,20211001,105600,143.8900000,143.9500000,143.8500000,143.8900000,1712
US1.BABA,1,20211001,105700,143.8900000,143.9700000,143.8900000,143.8900000,1736
US1.BABA,1,20211001,105800,143.9100000,144.0000000,143.8600000,143.9500000,4164
US1.BABA,1,20211001,105900,143.8400000,143.9000000,143.8400000,143.8900000,2100
US1.BABA,1,20211001,110000,143.9100000,143.9900000,143.9100000,143.9900000,500
US1.BABA,1,20211001,110100,143.9500000,144.0300000,143.9500000,144.0300000,1649
US1.BABA,1,20211001,110200,143.9100000,143.9200000,143.6600000,143.7500000,2375
US1.BABA,1,20211001,110300,143.7600000,143.8800000,143.7600000,143.8800000,1007
US1.BABA,1,20211001,110400,143.9400000,143.9400000,143.8900000,143.9300000,880
US1.BABA,1,20211001,110500,143.9700000,143.9700000,143.8900000,143.8900000,400
US1.BABA,1,20211001,110600,143.9100000,143.9100000,143.8800000,143.8900000,1000
US1.BABA,1,20211001,110700,143.8500000,143.8800000,143.7600000,143.7800000,3472
US1.BABA,1,20211001,110800,143.7900000,143.8000000,143.7000000,143.7000000,1100
US1.BABA,1,20211001,110900,143.7100000,143.7900000,143.6700000,143.6700000,600
US1.BABA,1,20211001,111000,143.7100000,143.7400000,143.6200000,143.6200000,2489
US1.BABA,1,20211001,111100,143.5800000,143.7100000,143.5800000,143.7100000,760
US1.BABA,1,20211001,111200,143.7350000,143.7700000,143.5800000,143.7700000,2137
US1.BABA,1,20211001,111300,143.7000000,143.8800000,143.7000000,143.8500000,2738
US1.BABA,1,20211001,111400,143.8800000,144.0000000,143.8800000,143.9200000,2968
US1.BABA,1,20211001,111500,143.9400000,143.9400000,143.8200000,143.8200000,1910
US1.BABA,1,20211001,111600,143.8000000,143.8000000,143.6000000,143.6000000,1300
US1.BABA,1,20211001,111700,143.5800000,143.5800000,143.3400000,143.3500000,7099
US1.BABA,1,20211001,111800,143.3600000,143.5500000,143.3550000,143.5300000,1725
US1.BABA,1,20211001,111900,143.5200000,143.6900000,143.5200000,143.6200000,2203
US1.BABA,1,20211001,112000,143.6300000,143.7100000,143.6100000,143.6300000,800
US1.BABA,1,20211001,112100,143.6100000,143.7800000,143.6100000,143.7800000,3784
US1.BABA,1,20211001,112200,143.7200000,143.8200000,143.6900000,143.7800000,3422
US1.BABA,1,20211001,112300,143.7600000,143.7800000,143.7200000,143.7800000,2048
US1.BABA,1,20211001,112400,143.8500000,144.0300000,143.8300000,144.0300000,2131
US1.BABA,1,20211001,112500,144.0450000,144.1800000,144.0200000,144.1700000,4677
US1.BABA,1,20211001,112600,144.1600000,144.2500000,144.0500000,144.0700000,1650
US1.BABA,1,20211001,112700,144.1100000,144.1200000,144.0500000,144.0900000,1785
US1.BABA,1,20211001,112800,144.1500000,144.1800000,144.1000000,144.1800000,1029
US1.BABA,1,20211001,112900,144.1800000,144.1900000,144.0600000,144.1900000,900
US1.BABA,1,20211001,113000,144.2100000,144.2100000,143.9500000,143.9500000,744
US1.BABA,1,20211001,113100,144.0300000,144.0300000,143.9500000,143.9700000,654
US1.BABA,1,20211001,113200,144.0500000,144.1600000,144.0300000,144.1600000,800
US1.BABA,1,20211001,113300,144.1200000,144.1500000,144.0300000,144.0300000,900
US1.BABA,1,20211001,113400,144.0200000,144.1000000,144.0100000,144.1000000,1085
US1.BABA,1,20211001,113500,144.1800000,144.1800000,144.0100000,144.0200000,900
US1.BABA,1,20211001,113600,144.0100000,144.0700000,144.0100000,144.0700000,200
US1.BABA,1,20211001,113700,144.0900000,144.0900000,143.9900000,144.0000000,1402
US1.BABA,1,20211001,113800,144.0000000,144.0700000,143.9800000,144.0400000,1566
US1.BABA,1,20211001,113900,144.0100000,144.0100000,143.9300000,143.9600000,4982
US1.BABA,1,20211001,114000,143.9600000,143.9700000,143.9500000,143.9500000,2250
US1.BABA,1,20211001,114100,143.9500000,144.0000000,143.9200000,143.9700000,800
US1.BABA,1,20211001,114200,143.9200000,143.9200000,143.7200000,143.7200000,2103
US1.BABA,1,20211001,114300,143.8300000,143.8400000,143.8300000,143.8400000,200
US1.BABA,1,20211001,114400,143.9600000,143.9600000,143.9600000,143.9600000,100
US1.BABA,1,20211001,114500,144.0000000,144.0000000,143.9800000,143.9900000,907
US1.BABA,1,20211001,114600,143.9400000,143.9500000,143.9000000,143.9400000,700
US1.BABA,1,20211001,114700,143.9600000,143.9800000,143.9600000,143.9800000,500
US1.BABA,1,20211001,114800,143.9100000,143.9100000,143.7900000,143.7900000,1430
US1.BABA,1,20211001,114900,143.7900000,143.7900000,143.7900000,143.7900000,100
US1.BABA,1,20211001,115000,143.8000000,143.8100000,143.7300000,143.7300000,1178
US1.BABA,1,20211001,115100,143.7600000,143.8400000,143.7600000,143.8300000,777
US1.BABA,1,20211001,115200,143.8400000,143.8800000,143.8400000,143.8800000,400
US1.BABA,1,20211001,115300,143.8700000,143.8700000,143.8500000,143.8700000,500
US1.BABA,1,20211001,115400,143.8600000,143.9500000,143.8500000,143.9300000,851
US1.BABA,1,20211001,115500,143.9000000,143.9200000,143.8900000,143.9200000,2255
US1.BABA,1,20211001,115600,143.8100000,143.8600000,143.8100000,143.8600000,1144
US1.BABA,1,20211001,115700,143.8400000,143.8400000,143.8000000,143.8000000,700
US1.BABA,1,20211001,115800,143.7500000,143.7600000,143.7200000,143.7300000,2300
US1.BABA,1,20211001,115900,143.7200000,143.7300000,143.7000000,143.7300000,600
US1.BABA,1,20211001,120000,143.7300000,143.7300000,143.6100000,143.6200000,2360
US1.BABA,1,20211001,120100,143.6800000,143.6800000,143.5800000,143.6100000,2804
US1.BABA,1,20211001,120200,143.6000000,143.6400000,143.5500000,143.5500000,1300
US1.BABA,1,20211001,120300,143.5400000,143.5800000,143.5400000,143.5400000,1800
US1.BABA,1,20211001,120400,143.5300000,143.5700000,143.4900000,143.5700000,1200
US1.BABA,1,20211001,120500,143.6400000,143.6800000,143.6000000,143.6700000,956
US1.BABA,1,20211001,120600,143.6500000,143.6700000,143.6500000,143.6600000,504
US1.BABA,1,20211001,120700,143.7400000,143.7800000,143.7400000,143.7500000,500
US1.BABA,1,20211001,120800,143.7800000,143.8300000,143.7400000,143.7400000,1025
US1.BABA,1,20211001,120900,143.6600000,143.6600000,143.6300000,143.6300000,300
US1.BABA,1,20211001,121000,143.6500000,143.6900000,143.6100000,143.6900000,400
US1.BABA,1,20211001,121100,143.7100000,143.7700000,143.6700000,143.7700000,600
US1.BABA,1,20211001,121200,143.8600000,143.8600000,143.8200000,143.8200000,500
US1.BABA,1,20211001,121300,143.7900000,143.8000000,143.7600000,143.7600000,700
US1.BABA,1,20211001,121400,143.6700000,143.6800000,143.6200000,143.6200000,500
US1.BABA,1,20211001,121500,143.6200000,143.6300000,143.6100000,143.6200000,848
US1.BABA,1,20211001,121600,143.5600000,143.5900000,143.5200000,143.5900000,2138
US1.BABA,1,20211001,121700,143.6400000,143.6600000,143.6300000,143.6600000,776
US1.BABA,1,20211001,121800,143.7100000,143.8900000,143.7100000,143.8100000,1400
US1.BABA,1,20211001,121900,143.8100000,143.8500000,143.8000000,143.8300000,1206
US1.BABA,1,20211001,122000,143.8300000,143.9200000,143.8300000,143.9200000,1042
US1.BABA,1,20211001,122100,143.9300000,143.9400000,143.8800000,143.8900000,1000
US1.BABA,1,20211001,122200,143.8900000,143.8900000,143.8300000,143.8300000,300
US1.BABA,1,20211001,122300,143.8700000,143.9400000,143.8700000,143.9400000,500
US1.BABA,1,20211001,122400,143.9900000,143.9900000,143.9800000,143.9900000,400
US1.BABA,1,20211001,122500,144.0200000,144.1500000,144.0200000,144.0800000,1430
US1.BABA,1,20211001,122600,144.0200000,144.0700000,144.0200000,144.0400000,400
US1.BABA,1,20211001,122700,144.0200000,144.0600000,144.0200000,144.0600000,400
US1.BABA,1,20211001,122800,144.1100000,144.1100000,144.0600000,144.0600000,342
US1.BABA,1,20211001,122900,144.1200000,144.1200000,144.1200000,144.1200000,239
US1.BABA,1,20211001,123000,144.1500000,144.1500000,144.0700000,144.0700000,500
US1.BABA,1,20211001,123100,144.1200000,144.1200000,144.1100000,144.1100000,600
US1.BABA,1,20211001,123200,144.0900000,144.0900000,143.9600000,143.9600000,400
US1.BABA,1,20211001,123300,144.0500000,144.0700000,144.0500000,144.0700000,200
US1.BABA,1,20211001,123400,144.0100000,144.0100000,143.9700000,143.9900000,400
US1.BABA,1,20211001,123500,144.0000000,144.0800000,144.0000000,144.0800000,500
US1.BABA,1,20211001,123600,144.1200000,144.1200000,144.0600000,144.0600000,605
US1.BABA,1,20211001,123700,144.0700000,144.0700000,144.0100000,144.0100000,900
US1.BABA,1,20211001,123800,144.0100000,144.0100000,143.9300000,143.9300000,300
US1.BABA,1,20211001,123900,143.7800000,143.8000000,143.7800000,143.8000000,400
US1.BABA,1,20211001,124000,144.0000000,144.0000000,143.9700000,143.9700000,794
US1.BABA,1,20211001,124100,143.9300000,143.9300000,143.8700000,143.8700000,959
US1.BABA,1,20211001,124200,143.9600000,143.9600000,143.9100000,143.9200000,745
US1.BABA,1,20211001,124300,143.9200000,143.9200000,143.8700000,143.8700000,200
US1.BABA,1,20211001,124400,143.9000000,143.9500000,143.9000000,143.9500000,200
US1.BABA,1,20211001,124500,143.9800000,144.0800000,143.9800000,144.0600000,947
US1.BABA,1,20211001,124600,144.0900000,144.1100000,144.0900000,144.1100000,400
US1.BABA,1,20211001,124700,144.1000000,144.1200000,144.0800000,144.0800000,700
US1.BABA,1,20211001,124800,144.0700000,144.0900000,144.0700000,144.0900000,451
US1.BABA,1,20211001,124900,144.1400000,144.1400000,144.1400000,144.1400000,152
US1.BABA,1,20211001,125000,144.1500000,144.1700000,144.1500000,144.1600000,300
US1.BABA,1,20211001,125100,144.0900000,144.0900000,144.0900000,144.0900000,100
US1.BABA,1,20211001,125200,143.9500000,143.9500000,143.9000000,143.9000000,400
US1.BABA,1,20211001,125300,144.0100000,144.0600000,144.0100000,144.0600000,500
US1.BABA,1,20211001,125400,144.0500000,144.0500000,144.0300000,144.0400000,500
US1.BABA,1,20211001,125600,144.0300000,144.0600000,143.9900000,144.0600000,473
US1.BABA,1,20211001,125700,144.0900000,144.1200000,144.0900000,144.1200000,703
US1.BABA,1,20211001,125800,144.1200000,144.1200000,144.0100000,144.0100000,500
US1.BABA,1,20211001,125900,144.0100000,144.0100000,143.9900000,143.9900000,300
US1.BABA,1,20211001,130000,144.1000000,144.1000000,143.9900000,143.9900000,566
US1.BABA,1,20211001,130100,143.9800000,144.0300000,143.9800000,143.9900000,1525
US1.BABA,1,20211001,130200,143.9900000,143.9900000,143.9600000,143.9600000,1300
US1.BABA,1,20211001,130300,143.9600000,143.9600000,143.9500000,143.9600000,1339
US1.BABA,1,20211001,130400,143.9800000,143.9800000,143.9200000,143.9200000,300
US1.BABA,1,20211001,130500,144.0300000,144.0300000,144.0300000,144.0300000,100
US1.BABA,1,20211001,130600,144.0200000,144.0600000,144.0200000,144.0600000,300
US1.BABA,1,20211001,130900,144.0600000,144.0700000,144.0600000,144.0700000,679
US1.BABA,1,20211001,131000,144.1900000,144.2200000,144.1900000,144.2000000,1500
US1.BABA,1,20211001,131100,144.2500000,144.3000000,144.2500000,144.3000000,327
US1.BABA,1,20211001,131200,144.3100000,144.3200000,144.3100000,144.3200000,300
US1.BABA,1,20211001,131300,144.2800000,144.2800000,144.2800000,144.2800000,102
US1.BABA,1,20211001,131400,144.2900000,144.2900000,144.2900000,144.2900000,100
US1.BABA,1,20211001,131500,144.3000000,144.3800000,144.3000000,144.3800000,700
US1.BABA,1,20211001,131600,144.3600000,144.3600000,144.3000000,144.3000000,325
US1.BABA,1,20211001,131700,144.2900000,144.3000000,144.2800000,144.2800000,500
US1.BABA,1,20211001,131800,144.2200000,144.2200000,144.2200000,144.2200000,193
US1.BABA,1,20211001,131900,144.2600000,144.3000000,144.2600000,144.3000000,200
US1.BABA,1,20211001,132000,144.2500000,144.3000000,144.2500000,144.3000000,200
US1.BABA,1,20211001,132100,144.2900000,144.2900000,144.2900000,144.2900000,182
US1.BABA,1,20211001,132200,144.2800000,144.4300000,144.2800000,144.4000000,1752
US1.BABA,1,20211001,132600,144.3500000,144.3500000,144.3300000,144.3300000,295
US1.BABA,1,20211001,132700,144.3400000,144.3400000,144.3400000,144.3400000,100
US1.BABA,1,20211001,132800,144.3800000,144.3800000,144.3800000,144.3800000,234
US1.BABA,1,20211001,133000,144.2300000,144.2300000,144.1900000,144.1900000,300
US1.BABA,1,20211001,133200,144.2600000,144.2600000,144.2600000,144.2600000,100
US1.BABA,1,20211001,133300,144.3500000,144.3600000,144.3500000,144.3600000,1897
US1.BABA,1,20211001,133400,144.4000000,144.4000000,144.3900000,144.3900000,280
US1.BABA,1,20211001,133500,144.3450000,144.3500000,144.3300000,144.3300000,500
US1.BABA,1,20211001,133700,144.2700000,144.2700000,144.2700000,144.2700000,100
US1.BABA,1,20211001,133800,144.1800000,144.1800000,144.1600000,144.1600000,300
US1.BABA,1,20211001,133900,144.1700000,144.1700000,144.1650000,144.1700000,826
US1.BABA,1,20211001,134000,144.1100000,144.1100000,144.0600000,144.0800000,600
US1.BABA,1,20211001,134100,144.2000000,144.2000000,144.2000000,144.2000000,321
US1.BABA,1,20211001,134200,144.1800000,144.1900000,144.1400000,144.1400000,1654
US1.BABA,1,20211001,134300,144.1400000,144.2000000,144.1200000,144.1200000,1100
US1.BABA,1,20211001,134400,144.1300000,144.1300000,144.0200000,144.0200000,831
US1.BABA,1,20211001,134500,144.0300000,144.0600000,144.0300000,144.0600000,652
US1.BABA,1,20211001,134600,144.0800000,144.1500000,144.0800000,144.1500000,200
US1.BABA,1,20211001,134700,144.1600000,144.1600000,144.1400000,144.1500000,948
US1.BABA,1,20211001,134800,144.1500000,144.2100000,144.1500000,144.2100000,303
US1.BABA,1,20211001,134900,144.2600000,144.2600000,144.2600000,144.2600000,200
US1.BABA,1,20211001,135000,144.2200000,144.2200000,144.1700000,144.1700000,200
US1.BABA,1,20211001,135100,144.1300000,144.1300000,144.1300000,144.1300000,100
US1.BABA,1,20211001,135200,144.1300000,144.1300000,144.0700000,144.0700000,536
US1.BABA,1,20211001,135400,144.1300000,144.1500000,144.1300000,144.1500000,2469
US1.BABA,1,20211001,135500,144.1500000,144.1500000,144.0600000,144.0600000,598
US1.BABA,1,20211001,135600,144.0000000,144.0100000,143.9700000,143.9800000,1514
US1.BABA,1,20211001,135700,143.9800000,144.0000000,143.9800000,143.9800000,861
US1.BABA,1,20211001,135800,143.9300000,143.9300000,143.8500000,143.8500000,605
US1.BABA,1,20211001,135900,143.8700000,143.9100000,143.8700000,143.9100000,201
US1.BABA,1,20211001,140000,143.9400000,143.9900000,143.9400000,143.9900000,500
US1.BABA,1,20211001,140100,143.9800000,144.0500000,143.9800000,144.0500000,1727
US1.BABA,1,20211001,140200,144.0600000,144.0600000,144.0600000,144.0600000,200
US1.BABA,1,20211001,140300,144.0500000,144.0500000,144.0100000,144.0100000,200
US1.BABA,1,20211001,140400,143.9900000,143.9900000,143.9400000,143.9900000,772
